Date,IBGE6,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
2022-06-07,210930,21749,10819,7970
2022-06-07,220095,4456,2046,2124
2022-06-07,220140,13634,5819,4810
2022-06-07,220155,10079,3850,3707
2022-06-07,220207,8222,3106,2833
2022-06-07,220327,7719,3885,3119
2022-06-07,220515,12296,4871,4479
2022-06-07,220554,5473,2427,2196
2022-06-07,220669,14233,5649,5200
2022-06-07,221095,6891,2790,2563
2022-06-07,230790,18601,9654,7512
2022-06-07,250053,12350,5279,4732
2022-06-07,250135,11344,4598,4254
2022-06-07,250153,11954,4850,4389
2022-06-07,250550,7795,3230,2955
2022-06-07,250840,8547,3061,3150
2022-06-07,250915,13822,5671,5107
2022-06-07,251000,18430,7392,6892
2022-06-07,251050,9152,3635,3415
2022-06-07,251065,5096,1875,1790
2022-06-07,251260,4232,1616,1524
2022-06-07,310140,7297,2976,2556
2022-06-07,310220,10652,4280,3928
2022-06-07,310320,5769,2168,2071
2022-06-07,310610,6969,2866,2462
2022-06-07,311560,3526,1262,1205
2022-06-07,312060,13536,4980,4676
2022-06-07,312680,11111,4879,4313
2022-06-07,312733,10921,4542,4064
2022-06-07,313730,7886,3379,3065
2022-06-07,314130,9663,3864,3544
2022-06-07,314360,6619,2498,2405
2022-06-07,314370,7749,3077,2651
2022-06-07,314670,12257,5247,4477
2022-06-07,315760,7911,3287,2901
2022-06-07,316165,6460,2831,2476
2022-06-07,316360,4857,2189,1891
2022-06-07,316556,7451,2701,2622
2022-06-07,316560,5982,2287,2226
2022-06-07,316660,2371,858,815
2022-06-07,330050,67537,27569,25722
2022-06-07,350000,158,64,63
2022-06-07,411550,10131,3920,3637
2022-06-07,411722,14176,6604,5644
2022-06-07,412395,7246,3012,2746
2022-06-07,420520,11266,4454,4257
2022-06-07,420543,6720,2507,2498
2022-06-07,421189,5567,2187,2044
2022-06-07,421335,7217,3293,2705
2022-06-07,421555,6573,2405,2326
2022-06-07,421795,5075,2088,1942
2022-06-07,430150,15688,6062,5810
2022-06-07,430195,6510,2385,2299
2022-06-07,430355,6016,2359,2235
2022-06-07,430515,6322,2514,2331
2022-06-07,430583,4063,1415,1384
2022-06-07,430697,7565,2924,2841
2022-06-07,430745,8132,3188,3008
2022-06-07,430786,6566,2455,2365
2022-06-07,430980,12467,4606,4422
2022-06-07,431046,4529,1730,1712
2022-06-07,431513,5203,1881,1832
2022-06-07,431531,3700,1425,1368
2022-06-07,431545,5424,1898,1860
2022-06-07,431700,16951,6615,6233
2022-06-07,431755,5092,2003,1902
2022-06-07,431795,5675,2238,2058
2022-06-07,431844,7114,2662,2593
2022-06-07,431845,6345,2287,2219
2022-06-07,431861,5458,2125,2050
2022-06-07,431862,8736,3682,3293
2022-06-07,431973,5474,2213,1964
2022-06-07,432235,2748,1119,1025
2022-06-07,500480,14698,6194,5361
2022-06-07,510645,6659,2916,2563
2022-06-07,510715,4857,2089,1872
2022-06-07,510757,4865,2238,1909
2022-06-07,520015,5169,2369,1870
2022-06-07,520690,5785,1924,2081
2022-06-07,520750,8281,3281,3041
2022-06-07,521160,5670,2097,2002
2022-06-07,521290,6417,2749,2403
2022-06-07,521305,4685,1932,1788
2022-06-07,522130,6506,2526,2379
2022-06-08,110175,12417,5581,4865
2022-06-08,120030,48939,24277,18334
2022-06-08,120038,29302,13310,11244
2022-06-08,120043,9454,4523,3470
2022-06-08,130006,8122,4776,2362
2022-06-08,130090,12140,6479,4772
2022-06-08,130195,12091,6148,4536
2022-06-08,130370,20722,12502,5845
2022-06-08,130395,17463,7492,6561
2022-06-08,130410,14314,7448,5463
2022-06-08,130423,25839,12397,9513
2022-06-08,140005,21209,10873,8172
2022-06-08,150175,12461,5769,4857
2022-06-08,150200,34951,16044,13170
2022-06-08,150340,21097,9396,7804
2022-06-08,150490,49518,26093,18632
2022-06-08,150495,23370,12377,9200
2022-06-08,150500,29520,12854,11271
2022-06-08,150540,33130,15640,13719
2022-06-08,150555,10281,5275,4016
2022-06-08,150565,20778,10299,8144
2022-06-08,150611,22915,10245,8655
2022-06-08,150630,35538,16493,13593
2022-06-08,150715,29258,15145,11384
2022-06-08,150780,15213,7814,5634
2022-06-08,170307,6542,3259,2581
2022-06-08,170625,3114,1393,1210
2022-06-08,170765,7949,3644,3083
2022-06-08,170980,3197,1393,1265
2022-06-08,171110,4897,2137,1876
2022-06-08,171195,4559,2387,1812
2022-06-08,171240,4532,2048,1783
2022-06-08,171360,8995,3926,3483
2022-06-08,171430,8984,3975,3457
2022-06-08,171488,18936,8641,7308
2022-06-08,171500,7798,3596,3138
2022-06-08,171515,5323,2102,1995
2022-06-08,171630,5778,2687,2242
2022-06-08,171700,6199,3096,2413
2022-06-08,171855,6837,3241,2592
2022-06-08,171889,3751,1710,1441
2022-06-08,171890,7303,3570,2859
2022-06-08,172010,6951,3468,2729
2022-06-08,172065,9153,4148,3472
2022-06-08,172125,3283,1517,1279
2022-06-08,210040,11532,5052,4229
2022-06-08,210135,10968,4804,4241
2022-06-08,210173,12399,6295,4678
2022-06-08,210193,11090,4890,4203
2022-06-08,210275,18210,7776,6849
2022-06-08,210312,13984,6480,5244
2022-06-08,210315,11182,5808,4093
2022-06-08,210470,7360,3735,2588
2022-06-08,210510,35990,16915,13873
2022-06-08,210565,8728,4212,3383
2022-06-08,210592,18499,7620,6855
2022-06-08,210632,22753,11089,8360
2022-06-08,210640,29092,13560,11087
2022-06-08,210720,17957,8915,6734
2022-06-08,210745,19702,8969,7541
2022-06-08,211040,24376,13081,9191
2022-06-08,211172,10665,4945,4101
2022-06-08,211174,12546,6342,4744
2022-06-08,211245,23462,11415,8856
2022-06-08,220060,15579,6027,5690
2022-06-08,220157,8208,3196,2961
2022-06-08,220173,13850,5556,5192
2022-06-08,220209,11411,4640,4491
2022-06-08,220213,8588,4292,3715
2022-06-08,220323,10379,4359,3742
2022-06-08,220415,6442,2646,2378
2022-06-08,220420,15907,6641,5774
2022-06-08,220525,10643,4140,3873
2022-06-08,220535,8021,2876,2772
2022-06-08,220553,13282,5305,4769
2022-06-08,220559,8915,3746,3261
2022-06-08,220660,20267,8622,7656
2022-06-08,220760,15897,7521,6100
2022-06-08,220779,6723,2689,2459
2022-06-08,220855,5544,2191,2030
2022-06-08,220930,11914,4865,4439
2022-06-08,220940,13149,5252,4893
2022-06-08,220945,4475,1810,1632
2022-06-08,220960,7651,2758,2606
2022-06-08,220975,5526,2283,2126
2022-06-08,220985,11144,4261,3929
2022-06-08,221160,7337,2680,2698
2022-06-08,230050,27026,11259,8948
2022-06-08,230060,17784,7159,5905
2022-06-08,240280,11190,4531,4044
2022-06-08,240615,7809,3202,2830
2022-06-08,241180,10070,3856,3443
2022-06-08,241380,6564,2766,2383
2022-06-08,241430,5126,1962,1818
2022-06-08,250057,7089,2937,2757
2022-06-08,250380,14726,5788,5381
2022-06-08,250403,11214,5110,4735
2022-06-08,250410,5840,2203,2071
2022-06-08,250485,5079,1846,1810
2022-06-08,250527,12926,5010,4712
2022-06-08,250590,7754,3061,2834
2022-06-08,250855,8899,3614,3373
2022-06-08,250933,10150,4256,3762
2022-06-08,250940,31323,12752,11697
2022-06-08,251070,5331,2077,1926
2022-06-08,251170,11150,4806,4338
2022-06-08,251272,10237,4535,3922
2022-06-08,251445,12650,5128,4513
2022-06-08,251455,7514,2798,2593
2022-06-08,251460,8491,3556,3094
2022-06-08,251500,15516,6526,5898
2022-06-08,251520,9441,3562,3537
2022-06-08,251593,11281,4663,4174
2022-06-08,251675,7025,3005,2658
2022-06-08,261140,23122,10298,8648
2022-06-08,270090,13267,5321,4785
2022-06-08,270370,10504,4671,4004
2022-06-08,270490,8825,3392,3169
2022-06-08,270590,7862,3887,3067
2022-06-08,280070,14413,6622,5251
2022-06-08,280190,9666,4020,3699
2022-06-08,280220,11769,5258,4480
2022-06-08,280640,15503,6542,5908
2022-06-08,280650,8065,3987,3142
2022-06-08,290660,32040,12188,11758
2022-06-08,290970,30264,13329,11577
2022-06-08,291530,12797,5527,4823
2022-06-08,291735,21940,8936,8281
