IBGE,Municipio,Population,Date,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
2923803,Paripiranga,29124,2021-11-13,34182,19726,14188
2923902,Pau Brasil,9550,2021-11-13,11810,7026,4630
2924108,Pedrão,7438,2021-11-13,9555,5476,3531
2924207,Pedro Alexandre,16698,2021-11-13,12401,8004,4414
2924702,Piripá,10253,2021-11-13,17790,9153,7886
2925709,Presidente Jânio Quadros,12028,2021-11-13,20179,11608,8128
2925907,Quijingue,27672,2021-11-13,33042,19046,13115
2926202,Riachão das Neves,22330,2021-11-13,24841,14623,9706
2926301,Riachão do Jacuípe,33498,2021-11-13,47461,25834,19797
2926509,Ribeira do Amparo,14631,2021-11-13,20864,12086,8336
2926707,Rio de Contas,12878,2021-11-13,21451,11848,9078
2927507,Santa Bárbara,20971,2021-11-13,23653,14977,8864
2927903,Santa Inês,10583,2021-11-13,14537,8190,5902
2928059,Santa Luzia,12308,2021-11-13,13575,7935,5386
2928307,Santanópolis,8987,2021-11-13,13907,7890,5938
2928505,Santa Terezinha,10520,2021-11-13,13099,7507,5400
2928950,São Domingos,9085,2021-11-13,13362,7275,5414
2929008,São Félix,14784,2021-11-13,18047,10087,7607
2929107,São Felipe,21083,2021-11-13,25298,15720,9341
2929206,São Francisco do Conde,40664,2021-11-13,50438,30389,20256
2929255,São Gabriel,18785,2021-11-13,29042,16304,12187
2929305,São Gonçalo dos Campos,38315,2021-11-13,37903,25512,12669
2929354,São José da Vitória,5562,2021-11-13,7588,4825,2754
2929370,São José do Jacuípe,10546,2021-11-13,16041,8814,6502
2929404,São Miguel das Matas,11733,2021-11-13,12988,8084,4948
2929602,Sapeaçu,17421,2021-11-13,29143,16007,12270
2929750,Saubara,12163,2021-11-13,15899,9382,6712
2929800,Saúde,12971,2021-11-13,14940,8463,6082
2930402,Serra Preta,14531,2021-11-13,24165,13813,9910
2930600,Serrolândia,13490,2021-11-13,16838,9504,7020
2930766,Sítio do Quinto,9431,2021-11-13,14914,8955,5605
2931004,Tanhaçu,20383,2021-11-13,16352,10834,5087
2931103,Tanquinho,7936,2021-11-13,13322,7431,5566
2931202,Taperoá,21421,2021-11-13,20414,12254,7787
2931400,Teodoro Sampaio,7296,2021-11-13,12381,6930,5034
2931608,Teolândia,15097,2021-11-13,12824,8302,4527
2931707,Terra Nova,13018,2021-11-13,18461,10599,7262
2932101,Ubaíra,19860,2021-11-13,22764,13289,8854
2933109,Várzea do Poço,9247,2021-11-13,12223,6829,5192
2933174,Varzedo,8734,2021-11-13,11872,6889,4745
2933208,Vera Cruz,44185,2021-11-13,26409,18945,7797
2933257,Vereda,6105,2021-11-13,7893,4594,3061
2933455,Wanderley,12125,2021-11-13,13137,8460,4797
3100104,Abadia dos Dourados,7022,2021-11-13,11365,6082,4986
3100500,Açucena,9270,2021-11-13,14190,7993,5865
3100708,Água Comprida,1986,2021-11-13,4446,2316,1882
3100807,Aguanil,4557,2021-11-13,7719,3934,3412
3101102,Aimorés,25116,2021-11-13,33020,18592,13175
3101508,Além Paraíba,35438,2021-11-13,56111,30036,23877
3101904,Alpinópolis,20059,2021-11-13,30018,17569,11452
3102001,Alterosa,14566,2021-11-13,23798,12495,10264
3102050,Alto Caparaó,5938,2021-11-13,8104,4398,3475
3102100,Alto Rio Doce,10723,2021-11-13,17024,9743,6917
3103702,Araponga,8467,2021-11-13,11284,6687,4374
3104304,Areado,15288,2021-11-13,21166,11496,8923
3104452,Aricanduva,5305,2021-11-13,7084,3868,3024
3104601,Astolfo Dutra,14358,2021-11-13,14840,9925,4887
3104700,Ataléia,12496,2021-11-13,16636,9841,6686
3105202,Bandeira,4738,2021-11-13,7442,4137,3076
3105301,Bandeira do Sul,5808,2021-11-13,10457,5695,4426
3106408,Belo Vale,7723,2021-11-13,13852,7803,5762
3106507,Berilo,11813,2021-11-13,17717,9414,7841
3106606,Bertópolis,4609,2021-11-13,5320,3154,2110
3106903,Bicas,14612,2021-11-13,22706,11826,9755
3107000,Biquinhas,2482,2021-11-13,4058,2016,1791
3107109,Boa Esperança,40308,2021-11-13,54807,29534,23484
3107901,Bom Repouso,10527,2021-11-13,17381,9827,7168
3108008,Bom Sucesso,17612,2021-11-13,28798,15526,12113
3108107,Bonfim,6852,2021-11-13,14227,7385,6158
3108206,Bonfinópolis de Minas,5397,2021-11-13,6627,3980,2629
3108255,Bonito de Minas,11502,2021-11-13,13060,7261,5404
3108800,Braúnas,4737,2021-11-13,7449,3967,3069
3108909,Brazópolis,14364,2021-11-13,25003,12827,10842
3109105,Bueno Brandão,10982,2021-11-13,19040,9751,8170
3109204,Buenópolis,10342,2021-11-13,12005,6854,4758
3109253,Bugre,3984,2021-11-13,6724,3635,2832
3109501,Cabo Verde,14074,2021-11-13,18690,10129,7794
3109808,Cachoeira Dourada,2720,2021-11-13,3209,1806,1269
3110004,Caeté,45364,2021-11-13,56872,33018,23261
3110103,Caiana,5584,2021-11-13,7704,4406,3126
3110301,Caldas,14600,2021-11-13,20078,10738,8506
3110806,Campanário,3739,2021-11-13,5308,2954,2171
3110905,Campanha,16855,2021-11-13,25167,13484,10665
3111002,Campestre,21052,2021-11-13,30208,16699,12571
3111150,Campo Azul,3830,2021-11-13,4377,2734,1674
3111408,Campo Florido,8383,2021-11-13,9089,4857,3904
3111507,Campos Altos,15661,2021-11-13,13542,9188,4400
3111606,Campos Gerais,28908,2021-11-13,39203,21167,16534
3111903,Cana Verde,5585,2021-11-13,8441,4485,3516
3112000,Candeias,14890,2021-11-13,25980,13530,11546
3112109,Caparaó,5464,2021-11-13,8079,4727,3189
3112505,Capim Branco,9896,2021-11-13,11649,6722,4589
3112653,Capitão Andrade,5559,2021-11-13,7470,4040,3230
3112703,Capitão Enéas,15388,2021-11-13,16333,9804,6561
3112901,Caputira,9318,2021-11-13,11248,6344,4446
3113206,Carandaí,25831,2021-11-13,35440,21741,13650
3113305,Carangola,33022,2021-11-13,51260,27337,21535
3113503,Carbonita,9423,2021-11-13,14566,8293,5750
3113602,Careaçu,6826,2021-11-13,11200,5930,4689
3113800,Carmésia,2660,2021-11-13,3623,1929,1544
3113909,Carmo da Cachoeira,12193,2021-11-13,17448,9741,7173
3114006,Carmo da Mata,11546,2021-11-13,18493,9721,8119
3114402,Carmo do Rio Claro,21310,2021-11-13,29619,16474,11702
3114808,Carvalhos,4445,2021-11-13,7532,4027,3066
3115300,Cataguases,75942,2021-11-13,93968,53001,39450
3115458,Catuji,6206,2021-11-13,8800,5519,3127
3115706,Central de Minas,7059,2021-11-13,8815,5084,3465
3115805,Centralina,10343,2021-11-13,12290,6705,5213
3116209,Chiador,2657,2021-11-13,4681,2507,1933
3116605,Cláudio,29093,2021-11-13,46906,26352,19668
3116803,Coluna,8810,2021-11-13,15469,8123,6694
3117009,Comercinho,6624,2021-11-13,11005,6156,4379
3117306,Conceição das Alagoas,28782,2021-11-13,43301,24301,18094
3117405,Conceição de Ipanema,4581,2021-11-13,6246,3550,2574
3117504,Conceição do Mato Dentro,17438,2021-11-13,27352,17733,9536
3117702,Conceição do Rio Verde,13729,2021-11-13,21620,11922,8824
3117801,Conceição dos Ouros,11852,2021-11-13,16048,8810,7048
3117836,Cônego Marinho,7730,2021-11-13,10067,5779,4131
3117876,Confins,6867,2021-11-13,11977,6773,5258
3117900,Congonhal,12209,2021-11-13,20092,10654,8548
3118205,Conquista,6997,2021-11-13,11454,5888,5041
3118403,Conselheiro Pena,22975,2021-11-13,30010,17239,12398
3118809,Coração de Jesus,26620,2021-11-13,30416,18034,12154
3119104,Corinto,23607,2021-11-13,32739,18492,13464
3119203,Coroaci,9897,2021-11-13,12122,6669,5019
3119807,Córrego Danta,3168,2021-11-13,5795,3006,2446
3119906,Córrego do Bom Jesus,3685,2021-11-13,6115,3341,2687
3120201,Cristais,13060,2021-11-13,20235,10881,9049
3120508,Cristina,10211,2021-11-13,15731,9035,6393
3120706,Cruzeiro da Fortaleza,3651,2021-11-13,7592,4009,3299
3120839,Cuparaque,5026,2021-11-13,6133,3453,2526
3120870,Curral de Dentro,7867,2021-11-13,9617,5856,3633
3121001,Datas,5431,2021-11-13,6485,3896,2531
3121100,Delfim Moreira,8007,2021-11-13,11103,6045,4734
3121209,Delfinópolis,7146,2021-11-13,13598,7763,5542
3121605,Diamantina,47924,2021-11-13,65432,37489,25668
3121803,Dionísio,7493,2021-11-13,11361,6084,4787
3122207,Divinolândia de Minas,7655,2021-11-13,10180,5577,4248
3122454,Divisópolis,11396,2021-11-13,8403,4827,3292
3122603,Dom Joaquim,4436,2021-11-13,7841,4454,3276
3123205,Dores do Indaiá,13373,2021-11-13,21390,11278,8978
3123304,Dores do Turvo,4202,2021-11-13,7214,3998,3097
3123528,Durandé,7898,2021-11-13,9837,5988,3566
3123700,Engenheiro Caldas,11268,2021-11-13,14339,7922,5901
3123809,Engenheiro Navarro,7240,2021-11-13,10228,6001,4144
3124203,Espera Feliz,25287,2021-11-13,37229,20666,15099
3124401,Espírito Santo do Dourado,4728,2021-11-13,8182,4831,3012
3124500,Estiva,11416,2021-11-13,17989,9453,7873
3124807,Estrela do Sul,8057,2021-11-13,8879,4624,3831
3125705,Felixlândia,15528,2021-11-13,25112,13182,10912
3125903,Ferros,9576,2021-11-13,16583,9108,6858
3125952,Fervedouro,11100,2021-11-13,16254,9212,6734
3126000,Florestal,7602,2021-11-13,13196,7182,5430
3126406,Fortuna de Minas,2986,2021-11-13,5142,2671,2242
3126505,Francisco Badaró,10311,2021-11-13,14838,7882,6363
3126950,Frei Lagonegro,3496,2021-11-13,5767,3013,2522
3127008,Fronteira,18866,2021-11-13,18584,10442,7471
3127073,Fruta de Leite,5232,2021-11-13,7032,4090,2750
3127305,Galiléia,6764,2021-11-13,8759,5116,3474
3127339,Gameleiras,5084,2021-11-13,5284,3345,1909
3127800,Grão Mogol,15943,2021-11-13,16618,9909,6390
3128105,Guapé,14269,2021-11-13,21543,11862,8906
3128253,Guaraciama,5005,2021-11-13,7877,4282,3420
3128501,Guarará,3755,2021-11-13,7302,3825,3217
3129004,Guiricema,8296,2021-11-13,11186,6805,4391
3129202,Heliodora,6623,2021-11-13,10843,5674,4722
3129301,Iapu,11085,2021-11-13,17218,8988,7633
3129608,Ibiaí,8478,2021-11-13,9440,5578,3660
3129657,Ibiracatu,5340,2021-11-13,7014,4340,2631
3129707,Ibiraci,14128,2021-11-13,20303,11299,8424
3130051,Icaraí de Minas,12200,2021-11-13,13002,7543,5159
3130705,Indianópolis,7009,2021-11-13,11201,5866,4973
3130804,Ingaí,2785,2021-11-13,4351,2329,1843
3131109,Inimutaba,7605,2021-11-13,12466,7104,5055
3131158,Ipaba,18926,2021-11-13,18561,10780,7515
3131505,Ipuiúna,10156,2021-11-13,14143,8276,5711
3131802,Itabirinha,11637,2021-11-13,15536,8281,6484
3132107,Itacarambi,18175,2021-11-13,20918,12091,8526
3132206,Itaguara,13510,2021-11-13,23036,12343,9739
3132305,Itaipé,12910,2021-11-13,12398,7781,4430
3132503,Itamarandiba,35130,2021-11-13,45870,26240,18997
3132701,Itambacuri,23207,2021-11-13,26684,16153,10271
3133204,Itanhomi,12259,2021-11-13,16894,9466,7299
3133402,Itapagipe,15511,2021-11-13,21268,11178,9353
3133501,Itapecerica,21760,2021-11-13,36078,19128,15504
3134103,Itueta,6074,2021-11-13,8482,4778,3554
3134707,Jacinto,12320,2021-11-13,15677,9165,6419
3135001,Jaguaraçu,3151,2021-11-13,3998,2408,1481
3135076,Jampruca,5453,2021-11-13,5237,3239,1891
3135357,Japonvar,7991,2021-11-13,11694,7035,4352
3136108,Joanésia,4382,2021-11-13,7140,3857,3093
3136504,Jordânia,10872,2021-11-13,11870,6762,4574
3136520,José Gonçalves de Minas,4474,2021-11-13,5937,3344,2408
3136579,Josenópolis,4911,2021-11-13,3384,2114,1239
3136603,Nova União,5739,2021-11-13,7611,4269,3228
3136652,Juatuba,27823,2021-11-13,42154,25473,16482
3137304,Lagoa dos Patos,4062,2021-11-13,5617,3056,2337
3137601,Lagoa Santa,66744,2021-11-13,94107,54206,37929
3137700,Lajinha,19914,2021-11-13,21983,13886,7777
3138104,Lassance,6494,2021-11-13,9358,5203,3944
3138401,Leopoldina,52690,2021-11-13,79409,43879,33460
3138625,Limeira do Oeste,7640,2021-11-13,10954,6046,4634
3138674,Luisburgo,6249,2021-11-13,10186,6031,3944
3139508,Manhumirim,22894,2021-11-13,31065,17906,12256
3139805,Mar de Espanha,12985,2021-11-13,20824,11428,8671
3139904,Maria da Fé,14019,2021-11-13,23650,12457,10156
3140159,Mário Campos,15814,2021-11-13,22274,13157,8970
3140209,Maripá de Minas,3000,2021-11-13,5910,2947,2607
3140407,Marmelópolis,2701,2021-11-13,5102,2820,2128
3140530,Martins Soares,8640,2021-11-13,9503,5470,3812
3140555,Mata Verde,8700,2021-11-13,10220,5832,4123
3140605,Materlândia,4415,2021-11-13,6683,3554,2885
3140704,Mateus Leme,31631,2021-11-13,52123,29953,21216
3140803,Matias Barbosa,14626,2021-11-13,22830,12958,9355
3140852,Matias Cardoso,11360,2021-11-13,7253,4888,2416
3140902,Matipó,19098,2021-11-13,20749,12427,7740
3141009,Mato Verde,12367,2021-11-13,17985,10505,7058
3141504,Mendes Pimentel,6446,2021-11-13,9827,5258,4248
3141603,Mercês,10775,2021-11-13,16261,8572,6912
3141702,Mesquita,5489,2021-11-13,9645,5282,3964
3141900,Minduri,3891,2021-11-13,5449,3098,2144
3142007,Mirabela,13651,2021-11-13,17861,9884,7270
3142106,Miradouro,10818,2021-11-13,14744,7888,6338
3142205,Miraí,15205,2021-11-13,20992,11461,8894
3142304,Moeda,4948,2021-11-13,7403,4672,2728
3142601,Monsenhor Paulo,8764,2021-11-13,12910,7284,5062
3143401,Monte Sião,24247,2021-11-13,33696,18735,14266
3143500,Morada Nova de Minas,8955,2021-11-13,13176,6783,5789
3143708,Morro do Pilar,3126,2021-11-13,4363,2656,1592
3144003,Mutum,26945,2021-11-13,37184,20950,14886
3144201,Nacip Raydan,3221,2021-11-13,3953,2226,1619
3144300,Nanuque,40583,2021-11-13,45633,26054,19107
3144359,Naque,7104,2021-11-13,8136,4867,3277
3144409,Natércia,4727,2021-11-13,7973,4066,3539
3144508,Nazareno,8710,2021-11-13,12011,6750,5008
3144672,Nova Belém,3067,2021-11-13,5414,3033,2201
3144904,Nova Módica,3548,2021-11-13,4889,2849,1912
3145109,Nova Resende,16937,2021-11-13,22512,12974,8955
3145356,Novo Oriente de Minas,10800,2021-11-13,10928,7045,3813
3145851,Oratórios,4671,2021-11-13,8599,4883,3367
3146107,Ouro Preto,74824,2021-11-13,119878,64624,54435
3146206,Ouro Verde de Minas,5895,2021-11-13,6245,4147,2141
3146255,Padre Carvalho,6466,2021-11-13,5875,3676,2119
3146602,Paiva,1517,2021-11-13,2871,1465,1203
3147204,Paraguaçu,21693,2021-11-13,23993,16005,8271
3147402,Paraopeba,24854,2021-11-13,39942,21738,17099
3147600,Passa Quatro,16439,2021-11-13,23363,13311,9586
3148202,Patrocínio do Muriaé,5744,2021-11-13,7895,4208,3197
3148301,Paula Cândido,9597,2021-11-13,12606,6938,5432
3148400,Paulistas,4794,2021-11-13,8243,4594,3260
3148509,Pavão,8390,2021-11-13,8834,5564,3129
3148608,Peçanha,17534,2021-11-13,22862,12978,9166
3149101,Pedralva,11098,2021-11-13,19483,9943,8552
3149150,Pedras de Maria da Cruz,12313,2021-11-13,11125,6709,4320
3149705,Perdigão,11994,2021-11-13,16628,9456,7092
3150000,Pescador,4261,2021-11-13,5701,3047,2389
3150703,Pirajuba,6491,2021-11-13,10703,5957,4507
3150802,Piranga,17641,2021-11-13,23465,12606,10068
3151107,Pirapetinga,10791,2021-11-13,19518,11022,7941
3151602,Planura,12445,2021-11-13,12623,8121,4650
3151701,Poço Fundo,16900,2021-11-13,24459,13096,10621
3152006,Pompéu,32248,2021-11-13,46371,25569,19768
3152402,Poté,16675,2021-11-13,19932,12034,7380
3152600,Pouso Alto,5862,2021-11-13,11740,6335,4869
3153004,Pratinha,3658,2021-11-13,6762,3479,2934
3153202,Presidente Juscelino,3572,2021-11-13,6675,3436,2938
3153509,Alto Jequitibá,8286,2021-11-13,13929,7810,5581
3154002,Raul Soares,23663,2021-11-13,38617,21219,15462
3154101,Recreio,10522,2021-11-13,15540,8064,6512
3154150,Reduto,7247,2021-11-13,7074,4227,2676
3154903,Rio Casca,13384,2021-11-13,20303,11114,8532
3155009,Rio Doce,2630,2021-11-13,4912,2469,2156
3155306,Rio Manso,5924,2021-11-13,9599,5019,4161
3155405,Rio Novo,8964,2021-11-13,13647,7257,5834
3155801,Rio Pomba,18007,2021-11-13,23217,13201,9326
3156304,Rodeiro,8333,2021-11-13,13317,7828,5474
3156403,Romaria,3507,2021-11-13,5552,2859,2432
3156502,Rubelita,5609,2021-11-13,5100,3267,1842
3156601,Rubim,10269,2021-11-13,14470,7955,5758
3156700,Sabará,137877,2021-11-13,166736,92717,68893
3157104,Salto da Divisa,7014,2021-11-13,8233,4754,3214
3157278,Santa Bárbara do Monte Verde,3212,2021-11-13,4110,2679,1466
3157336,Santa Cruz de Minas,8723,2021-11-13,13377,7972,5140
3157500,Santa Efigênia de Minas,4354,2021-11-13,6329,3463,2600
3157609,Santa Fé de Minas,3806,2021-11-13,5178,2836,2160
3157906,Santa Margarida,16393,2021-11-13,24440,13789,10001
3158003,Santa Maria de Itabira,10867,2021-11-13,14607,8059,6033
3158409,Santana de Cataguases,3909,2021-11-13,5868,3374,2478
3158508,Santana de Pirapama,7538,2021-11-13,12073,6960,5003
3158607,Santana do Deserto,3985,2021-11-13,6007,3317,2433
3158805,Santana do Jacaré,4847,2021-11-13,6883,4043,2696
3158904,Santana do Manhuaçu,8660,2021-11-13,10657,6122,4323
3159209,Santa Rita de Caldas,8900,2021-11-13,14871,7857,6227
3159308,Santa Rita de Jacutinga,4843,2021-11-13,8463,4492,3585
3159357,Santa Rita de Minas,7322,2021-11-13,10394,5952,4267
3159506,Santa Rita do Itueto,5426,2021-11-13,7736,4584,3006
3159704,Santa Rosa da Serra,3364,2021-11-13,4787,2589,2029
3159902,Santo Antônio do Amparo,18697,2021-11-13,28230,14974,12114
3160009,Santo Antônio do Aventureiro,3602,2021-11-13,6159,3264,2599
3160959,São Domingos das Dores,5672,2021-11-13,7497,4240,3019
3161007,São Domingos do Prata,17296,2021-11-13,29228,16004,12236
3161304,São Francisco de Sales,6309,2021-11-13,8508,4625,3604
3161403,São Francisco do Glória,4758,2021-11-13,8113,4231,3493
3161601,São Geraldo da Piedade,3860,2021-11-13,5330,3311,1947
3161700,São Gonçalo do Abaeté,8527,2021-11-13,9637,5233,4037
3162005,São Gonçalo do Sapucaí,25670,2021-11-13,30242,18231,11909
3162401,São João da Ponte,25033,2021-11-13,30757,17283,13230
3162559,São João do Manhuaçu,11785,2021-11-13,13237,7716,5359
3162575,São João do Manteninha,5975,2021-11-13,6349,3881,2413
3162658,São João do Pacuí,4476,2021-11-13,3721,2377,1234
3162807,São João Evangelista,15761,2021-11-13,20922,12173,8349
3162906,São João Nepomuceno,26530,2021-11-13,40971,21652,17903
3162955,São José da Lapa,24490,2021-11-13,34586,19866,13924
3163201,São José do Alegre,4222,2021-11-13,6862,3465,3197
3163409,São José do Goiabal,5356,2021-11-13,7527,3957,3130
3163607,São José do Mantimento,2821,2021-11-13,2896,1842,1081
3164209,São Romão,12713,2021-11-13,9781,5505,3869
3164308,São Roque de Minas,7100,2021-11-13,10525,5649,4601
3164407,São Sebastião da Bela Vista,5598,2021-11-13,7747,4109,3321
3164506,São Sebastião do Maranhão,9884,2021-11-13,11017,6436,4229
3165008,São Tiago,10979,2021-11-13,14377,8388,5863
3165206,São Tomé das Letras,7151,2021-11-13,10483,5770,4534
3165305,São Vicente de Minas,7876,2021-11-13,12456,6605,5420
3165404,Sapucaí-Mirim,7045,2021-11-13,8885,4697,3971
3165537,Sarzedo,34050,2021-11-13,52967,30852,21624
3165552,Setubinha,12493,2021-11-13,12425,7725,4664
3165602,Senador Cortes,2001,2021-11-13,3699,1940,1657
3165701,Senador Firmino,7902,2021-11-13,12345,6367,5269
3165800,Senador José Bento,1422,2021-11-13,3247,1662,1449
3165909,Senador Modestino Gonçalves,4056,2021-11-13,7091,3883,2864
3166204,Senhora dos Remédios,10474,2021-11-13,14811,8375,5944
3166709,Serra dos Aimorés,8725,2021-11-13,10246,6023,3844
3166808,Serra do Salitre,11750,2021-11-13,18018,10105,7742
3166907,Serrania,7667,2021-11-13,11699,6397,4759
3167301,Silveirânia,2267,2021-11-13,4531,2348,2002
3167608,Simonésia,19834,2021-11-13,26471,15690,10149
3167707,Sobrália,5476,2021-11-13,8139,4481,3447
3168002,Taiobeiras,34653,2021-11-13,26472,19028,7558
3168309,Taquaraçu de Minas,4120,2021-11-13,6856,3680,2937
3168507,Teixeiras,11680,2021-11-13,18780,10726,7042
3169109,Toledo,6336,2021-11-13,8954,4677,3963
3169208,Tombos,7683,2021-11-13,12131,6961,4749
3169505,Tumiritinga,6797,2021-11-13,7009,4187,2736
3169802,Turvolândia,5099,2021-11-13,7945,4255,3495
3170305,Umburatiba,2582,2021-11-13,4011,2698,1294
3170503,Urucânia,10333,2021-11-13,17503,9276,7611
3170578,Vargem Alegre,6460,2021-11-13,9673,5606,3719
3170651,Vargem Grande do Rio Pardo,5045,2021-11-13,6193,3530,2564
3171154,Vermelho Novo,4852,2021-11-13,6218,3971,2293
3171501,Mathias Lobato,3157,2021-11-13,4717,2779,1815
3171600,Virgem da Lapa,13729,2021-11-13,15500,8753,6489
3171808,Virginópolis,10459,2021-11-13,14525,8246,5803
3172004,Visconde do Rio Branco,43351,2021-11-13,52692,31392,21225
3200136,Águia Branca,9621,2021-11-13,14006,7484,5796
3200169,Água Doce do Norte,10801,2021-11-13,17332,9841,6982
3200359,Alto Rio Novo,7911,2021-11-13,10620,5958,4295
3200904,Barra de São Francisco,45301,2021-11-13,61626,34695,24526
3202009,Dores do Rio Preto,6793,2021-11-13,10744,6139,4218
3202405,Guarapari,128504,2021-11-13,168072,95422,68157
3202504,Ibiraçu,12701,2021-11-13,20664,11374,8466
3202603,Iconha,14083,2021-11-13,23551,12227,9872
3202702,Itaguaçu,13982,2021-11-13,23846,12426,9787
3203106,Jerônimo Monteiro,12336,2021-11-13,18789,10007,7748
3203163,Laranja da Terra,10919,2021-11-13,20536,10433,8596
3203304,Mantenópolis,15653,2021-11-13,18883,10054,7773
3203403,Mimoso do Sul,26079,2021-11-13,37861,20612,15533
3203601,Mucurici,5468,2021-11-13,8900,4869,3596
3203809,Muqui,15602,2021-11-13,22607,11971,9354
3204005,Pancas,23426,2021-11-13,31644,16985,13331
3204104,Pinheiros,27601,2021-11-13,33904,19065,13445
3204252,Ponto Belo,8016,2021-11-13,11913,6542,4862
3204351,Rio Bananal,19398,2021-11-13,35208,19314,14397
3204401,Rio Novo do Sul,11630,2021-11-13,19771,10522,8187
3204658,São Domingos do Norte,8735,2021-11-13,14034,7637,5741
3205176,Vila Valério,14065,2021-11-13,20497,11831,8080
3300159,Aperibé,12036,2021-11-13,16298,8308,7315
3300258,Arraial do Cabo,30827,2021-11-13,44257,25173,17976
3300308,Barra do Piraí,101139,2021-11-13,117023,71194,44555
3300506,Bom Jardim,27779,2021-11-13,45301,24938,19209
3300605,Bom Jesus do Itabapoana,37306,2021-11-13,57154,29533,24535
3300936,Carapebus,16859,2021-11-13,18809,11054,7432
3301108,Cantagalo,20163,2021-11-13,34468,17409,15311
3301157,Cardoso Moreira,12818,2021-11-13,15246,9282,5903
3301207,Carmo,19161,2021-11-13,29905,15686,12648
3301405,Conceição de Macabu,23561,2021-11-13,28318,15801,11606
3301504,Cordeiro,22152,2021-11-13,33316,17338,14358
3301603,Duas Barras,11563,2021-11-13,10618,7177,3664
3301801,Engenheiro Paulo de Frontin,14138,2021-11-13,20636,11199,8646
3302056,Italva,15387,2021-11-13,20168,11116,8534
3302254,Itatiaia,32312,2021-11-13,45955,24794,20134
3302304,Laje do Muriaé,7298,2021-11-13,7172,4855,2383
3302452,Macuco,5646,2021-11-13,12453,6444,5421
3302601,Mangaratiba,45941,2021-11-13,83334,46008,34170
3302809,Mendes,18681,2021-11-13,24965,15287,9786
3303005,Miracema,27134,2021-11-13,35911,21006,13814
3303708,Paraíba do Sul,44741,2021-11-13,50204,35293,15346
3303856,Paty do Alferes,27942,2021-11-13,41499,23242,17621
3304003,Piraí,29802,2021-11-13,50416,27830,20801
3304102,Porciúncula,19068,2021-11-13,27679,15388,11396
3304110,Porto Real,20254,2021-11-13,27031,15747,10948
3304409,Rio Claro,18677,2021-11-13,30931,16849,13140
3304607,Santa Maria Madalena,10380,2021-11-13,13794,7540,5713
3304706,Santo Antônio de Pádua,42705,2021-11-13,43853,26811,16097
3304755,São Francisco de Itabapoana,42214,2021-11-13,52786,32123,20825
3305406,Sapucaia,18270,2021-11-13,23456,14050,9290
3305703,Sumidouro,15709,2021-11-13,20813,11872,8536
3305752,Tanguá,34898,2021-11-13,42202,24946,16637
3305901,Trajano de Moraes,10653,2021-11-13,13017,7349,5308
3306206,Vassouras,37262,2021-11-13,47233,27582,17903
3500204,Adolfo,3545,2021-11-13,9552,4530,4459
3500303,Aguaí,36981,2021-11-13,50218,25142,23518
3500402,Águas da Prata,8262,2021-11-13,16929,8129,7980
3500501,Águas de Lindóia,18908,2021-11-13,30636,15405,14163
3500550,Águas de Santa Bárbara,6142,2021-11-13,12814,6458,5756
3500600,Águas de São Pedro,3588,2021-11-13,8164,3900,3756
3500709,Agudos,37582,2021-11-13,59485,30743,26782
3500758,Alambari,6231,2021-11-13,10222,5330,4717
3500907,Altair,4211,2021-11-13,6100,2940,2892
3501004,Altinópolis,16221,2021-11-13,32127,15291,15109
3501103,Alto Alegre,4078,2021-11-13,8162,3960,3765
3501152,Alumínio,18903,2021-11-13,33792,17381,15785
3501202,Álvares Florence,3616,2021-11-13,9167,4363,4316
3501301,Álvares Machado,25078,2021-11-13,46287,23150,21374
3501400,Álvaro de Carvalho,5320,2021-11-13,8064,4068,3763
3501509,Alvinlândia,3251,2021-11-13,5058,2457,2428
3502200,Angatuba,25724,2021-11-13,40317,21852,17770
3502309,Anhembi,6911,2021-11-13,9341,4802,4243
3502408,Anhumas,4172,2021-11-13,7827,3851,3706
3502705,Apiaí,24081,2021-11-13,42500,21843,19689
3503000,Aramina,5689,2021-11-13,11395,5693,5363
3503109,Arandu,6373,2021-11-13,11214,5555,5245
3503604,Areiópolis,11186,2021-11-13,20455,10696,9452
3504305,Avaí,5467,2021-11-13,8270,3954,3899
3505609,Barrinha,33537,2021-11-13,48870,25883,22242
3506300,Bernardino de Campos,11168,2021-11-13,21654,10598,10148
3506409,Bilac,8197,2021-11-13,12741,6056,5991
3506607,Biritiba Mirim,33265,2021-11-13,46040,23717,21457
3506805,Bocaina,12571,2021-11-13,20044,9659,9523
3507100,Bom Jesus dos Perdões,26506,2021-11-13,32179,16415,15289
3507308,Boracéia,4913,2021-11-13,6903,3394,3154
3507407,Borborema,16278,2021-11-13,30726,14902,14522
3507704,Braúna,5795,2021-11-13,8684,4215,4044
3508108,Buritama,17414,2021-11-13,25844,12495,12042
3508306,Cabrália Paulista,4222,2021-11-13,7871,3861,3672
3508702,Caconde,19031,2021-11-13,26569,13170,12144
3508801,Cafelândia,17917,2021-11-13,31525,15767,14646
3508900,Caiabu,4195,2021-11-13,6909,3451,3221
3509452,Campina do Monte Alegre,6088,2021-11-13,11365,5561,5567
3509700,Campos do Jordão,52713,2021-11-13,84358,42029,40277
3510005,Cândido Mota,31410,2021-11-13,53869,26543,25217
3510104,Cândido Rodrigues,2805,2021-11-13,5391,2507,2544
3510401,Capivari,56973,2021-11-13,84961,43149,39730
