IBGE,Municipio,Population,Date,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated
5200506,Aloândia,1976,2021-11-11,3180,1675,1346
5218102,Portelândia,4032,2021-11-11,4958,2715,2033
5220280,São Patrício,2040,2021-11-11,3836,2078,1594
1100072,Corumbiara,7052,2021-11-12,9666,5586,3953
1100908,Castanheiras,2923,2021-11-12,4510,2488,2026
1100924,Chupinguaia,11755,2021-11-12,11202,6750,4394
1101435,Nova União,6822,2021-11-12,8927,4778,3890
1101468,Pimenteiras do Oeste,2127,2021-11-12,3309,1903,1362
1101476,Primavera de Rondônia,2697,2021-11-12,5387,3076,2235
1101559,Teixeirópolis,4160,2021-11-12,6918,3680,3107
1200179,Capixaba,12280,2021-11-12,8634,5261,3634
1200336,Mâncio Lima,19643,2021-11-12,19076,11304,7734
1200351,Marechal Thaumaturgo,19727,2021-11-12,17781,10554,7350
1200427,Rodrigues Alves,19767,2021-11-12,14247,8663,5720
1200450,Senador Guiomard,23446,2021-11-12,23661,14163,9665
1300201,Atalaia do Norte,20868,2021-11-12,12124,7170,5129
1300607,Benjamin Constant,44873,2021-11-12,36149,20655,14837
1302108,Japurá,1755,2021-11-12,4290,2708,1582
1303304,Novo Aripuanã,26443,2021-11-12,15622,9484,6147
1303502,Pauini,19616,2021-11-12,11063,7095,4096
1303908,São Paulo de Olivença,40837,2021-11-12,14801,10658,4077
1400407,Normandia,11772,2021-11-12,7148,4268,2818
1400704,Uiramutã,11014,2021-11-12,7048,4187,2855
1501253,Bannach,3239,2021-11-12,4228,2617,1856
1506906,Santarém Novo,6796,2021-11-12,7386,4586,2877
1507805,Senador José Porfírio,11305,2021-11-12,9319,5731,3689
1600105,Amapá,9265,2021-11-12,9319,5407,3725
1600204,Calçoene,11493,2021-11-12,7709,5095,2606
1600238,Ferreira Gomes,8151,2021-11-12,7416,4440,2815
1600402,Mazagão,22468,2021-11-12,16496,10743,5629
1600550,Pracuúba,5370,2021-11-12,3255,2142,1046
1600709,Tartarugalzinho,18217,2021-11-12,11113,7073,3837
1700350,Aliança do Tocantins,5303,2021-11-12,7240,4270,2914
1701051,Angico,3475,2021-11-12,3153,1953,1204
1701101,Aparecida do Rio Negro,4901,2021-11-12,4627,2776,1810
1703073,Barra do Ouro,4673,2021-11-12,4296,2735,1559
1703305,Bom Jesus do Tocantins,5120,2021-11-12,3796,2398,1423
1703602,Brasilândia do Tocantins,2221,2021-11-12,2547,1398,1060
1703701,Brejinho de Nazaré,5540,2021-11-12,5686,3322,2266
1703826,Cachoeirinha,2293,2021-11-12,2207,1332,833
1703883,Carmolândia,2627,2021-11-12,3570,2079,1431
1704600,Chapada de Areia,1415,2021-11-12,1859,1070,786
1705557,Combinado,4870,2021-11-12,6363,3656,2590
1705607,Conceição do Tocantins,4070,2021-11-12,5320,3020,2153
1706506,Darcinópolis,6250,2021-11-12,5456,3382,1981
1707553,Fátima,3824,2021-11-12,4398,2525,1778
1709807,Ipueiras,2088,2021-11-12,2265,1244,939
1711506,Jaú do Tocantins,3906,2021-11-12,4984,2896,2145
1712157,Lavandeira,1984,2021-11-12,2263,1333,890
1712702,Mateiros,2773,2021-11-12,2328,1443,851
1712801,Maurilândia do Tocantins,3470,2021-11-12,3108,2026,1112
1713700,Monte Santo do Tocantins,2311,2021-11-12,3393,1898,1380
1713809,Palmeiras do Tocantins,6830,2021-11-12,6396,3791,2441
1713957,Muricilândia,3623,2021-11-12,3899,2161,1605
1714302,Nazaré,3772,2021-11-12,6104,3551,2495
1715259,Novo Jardim,2768,2021-11-12,2446,1526,900
1715507,Oliveira de Fátima,1124,2021-11-12,1422,775,596
1716703,Colméia,8078,2021-11-12,10418,6330,4484
1717008,Pindorama do Tocantins,4414,2021-11-12,4593,2797,1792
1718006,Porto Alegre do Tocantins,3200,2021-11-12,3278,1871,1364
1718402,Presidente Kennedy,3668,2021-11-12,4269,2501,1660
1718501,Recursolândia,4389,2021-11-12,3548,2241,1345
1718709,Rio dos Bois,2879,2021-11-12,3367,1952,1404
1718840,Sandolândia,3371,2021-11-12,4581,2583,1891
1718881,Santa Maria do Tocantins,3537,2021-11-12,2592,1480,1038
1718899,Santa Rita do Tocantins,2407,2021-11-12,2709,1525,1122
1718907,Santa Rosa do Tocantins,4864,2021-11-12,5039,3096,1944
1720259,São Salvador do Tocantins,3106,2021-11-12,2948,1700,1226
